assemblage.locality_idlocality;assemblage.name;assemblage.created;country_continent.continent;locality.country
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 42;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 43;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 44;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 45;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 46;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 47;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 48;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 49;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 50;18.06.2014;Asia;China;
Zhoukoudian Locality 1;Zhoukoudian locality 1 human remains 51;18.06.2014;Asia;China;
Zhoukoudian Locality 15;Zhoukoudian Locality 15 Cultural Layer 2;03.05.2022;Asia;China;
Zhoukoudian Locality 15;Zhoukoudian Locality 15 Cultural Layer 4;03.05.2022;Asia;China;
Zhoukoudian Locality 4;Zhoukoudian Locality 4;12.12.2013;Asia;China;
Zhoukoudian Locality 4;Zhoukoudian locality 4 human remains 01;23.06.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave;17.01.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave 1940;04.02.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 1;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 1-5;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 2;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 3;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 4;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave Cultural Layer 5;29.04.2022;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian Upper Cave human remains;18.06.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 01;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 02;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 03;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 04;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 05;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 06;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 07;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 08;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 09;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 10;17.07.2014;Asia;China;
Zhoukoudian Upper Cave;Zhoukoudian upper Cave human remains 11;17.07.2014;Asia;China;
Ziyang;Ziyang Layer 3;31.03.2014;Asia;China;
Ziyang;Ziyang human remains;25.06.2014;Asia;China;
Mokeko;Mokeko Archaeological Assemblage;19.01.2013;Africa;Congo, Republic of the;
Krapina;Krapina Layer 1-9 Archaeological Assemblage;18.04.2016;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 101;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 102;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 104;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 105;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 108;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 109;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 11;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 110;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 111;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 112;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 113;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 118;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 119;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 123;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 124;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 126;11.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 127;12.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 128;12.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 133;12.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 134;12.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 140;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 141;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 142;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 144;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 145;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 146;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 149;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 15;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 150;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 152;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 154;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 155;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 157;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 158;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 159;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 162;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 163;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 165;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 168;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 169;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 17;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 170;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 171;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 172;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 174;13.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 175;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 178;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 18;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 180;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 181;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 182;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 183;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 184;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 186;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 187;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 190;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 191;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 192;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 199;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 20;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 200;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 201;14.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 202;26.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 203;26.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 207;26.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 21;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 214;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 216;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 217;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 218;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 22;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 221;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 222;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 226;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 228;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 229;04.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 23;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 230;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 231;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 232;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 233;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 234;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 235;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 236;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 237;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 238;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 239;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 240;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 241;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 242;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 243;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 244;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 245;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 246;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 247;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 248;16.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 249;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 25;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 250;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 251;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 252;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 253;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 254;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 255;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 256;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 257;17.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 258;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 259;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 260;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 261;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 262;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 263;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 264;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 265;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 266;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 267;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 268;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 269;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 27;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 270;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 271;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 272;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 273;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 274;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 275;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 276;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 277;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 278;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 279;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 28;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 280;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 281;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 283;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 284;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 285;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 286;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 287;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 289;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 29;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 290;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 291;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 292;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 293;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 294;18.10.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 296;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 297;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 298;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 299;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 30;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 300;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 301;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 302;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 303;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 304;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 305;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 306;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 307;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 308;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 309;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 310;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 311;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 312;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 313;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 314;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 315;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 316;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 317;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 318;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 319;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 32;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 320;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 321;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 322;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 323;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 324;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 325;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 326;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 327;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 328;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 329;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 330;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 331;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 332;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 333;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 334;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 335;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 336;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 337;07.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 340;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 341;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 342;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 343;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 344;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 345;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 346;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 347;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 348;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 35;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 350;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 351;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 353;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 354;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 355;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 356;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 357;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 358;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 36;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 360;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 361;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 362;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 363;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 364;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 365;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 366;08.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 367;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 368;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 369;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 37;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 370;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 371;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 372;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 373;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 374;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 375;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 376;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 377;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 378;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 379;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 38;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 380;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 381;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 382;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 383;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 384;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 385;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 386;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 387;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 388;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 389;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 39;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 390;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 391;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 392;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 393;15.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 394;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 395;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 396;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 397;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 398;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 400;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 401;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 402;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 403;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 404;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 405;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 406;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 407;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 408;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 409;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 410;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 411;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 412;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 413;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 414;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 415;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 416;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 417;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 419;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 420;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 421;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 422;21.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 423;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 424;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 425;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 427;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 428;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 429;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 43;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 430;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 432;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 433;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 434;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 435;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 436;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 437;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 438;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 439;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 440;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 441;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 442;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 443;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 444;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 445;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 446;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 447;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 448;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 449;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 45;08.09.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 450;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 451;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 452;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 453;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 455;27.11.2017;Europe;Croatia;
Krapina;Krapina Layer 1-9 human remains 456;27.11.2017;Europe;Croatia;
